排名,名称,省市,类型,总分
1,清华大学,北京,综合,992.6
2,北京大学,北京,综合,898.6
3,浙江大学,浙江,综合,793.8
4,上海交通大学,上海,综合,776.3
5,复旦大学,上海,综合,697.0
6,南京大学,江苏,综合,656.1
7,中国科学技术大学,安徽,理工,578.4
8,华中科技大学,湖北,综合,578.0
9,武汉大学,湖北,综合,577.3
10,西安交通大学,陕西,综合,566.4
11,中山大学,广东,综合,539.6
12,北京航空航天大学,北京,理工,537.2
13,东南大学,江苏,综合,530.7
14,北京理工大学,北京,理工,530.2
15,四川大学,四川,综合,527.9
16,哈尔滨工业大学,黑龙江,理工,514.1
17,同济大学,上海,综合,509.6
18,中国人民大学,北京,综合,508.3
19,北京师范大学,北京,师范,501.4
20,天津大学,天津,理工,491.5
21,南开大学,天津,综合,481.8
22,山东大学,山东,综合,476.3
23,西北工业大学,陕西,理工,459.9
24,厦门大学,福建,综合,458.2
25,中南大学,湖南,综合,456.1
26,吉林大学,吉林,综合,443.7
27,中国农业大学,北京,农业,440.6
28,大连理工大学,辽宁,理工,435.7
29,华东师范大学,上海,师范,431.2
30,华南理工大学,广东,理工,430.6
