序号,股票代码,日期,开盘价,最高价,最低价,收盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额,5日均价,5日均量,10日均价,10日均量
0,002594.SZ,20230801,271.76,272.76,266.5,268.5,272.0,-3.5,-1.2868,120339.93,3239067.594,266.244,137444.782,264.741,117386.466
1,002594.SZ,20230731,270.0,276.58,269.88,272.0,267.0,5.0,1.8727,215060.16,5874722.583,265.462,148153.364,264.439,115198.121
2,002594.SZ,20230728,260.0,267.65,258.22,267.0,260.49,6.51,2.4991,173308.25,4584230.666,262.562,124331.406,263.688,101584.768
3,002594.SZ,20230727,264.5,265.77,260.8,261.63,262.09,-0.46,-0.1755,112650.69,2962230.532,262.026,104727.162,263.429,94526.146
4,002594.SZ,20230726,263.76,263.76,260.6,262.09,264.59,-2.5,-0.9449,65864.88,1723363.551,262.69,100451.126,264.049,91536.378
5,002594.SZ,20230725,262.68,266.99,262.65,264.59,257.5,7.09,2.7534,173882.84,4604657.752,263.238,97328.15,264.401,93653.085
6,002594.SZ,20230724,261.01,262.77,257.49,257.5,264.32,-6.82,-2.5802,95950.37,2491708.306,263.416,82242.878,264.875,86505.321
7,002594.SZ,20230721,264.0,264.8,261.55,264.32,264.95,-0.63,-0.2378,75287.03,1979318.622,264.814,78838.13,265.48,83798.046
8,002594.SZ,20230720,265.5,269.5,264.0,264.95,264.83,0.12,0.0453,91270.51,2434017.185,264.832,84325.13,265.488,82488.493
9,002594.SZ,20230719,265.49,265.9,262.74,264.83,265.48,-0.65,-0.2448,50250.0,1328126.187,265.408,82621.63,265.803,81732.627
10,002594.SZ,20230718,265.25,267.57,260.5,265.48,264.49,0.99,0.3743,98456.48,2603934.532,265.564,89978.02,266.02,86010.94
11,002594.SZ,20230717,267.0,267.0,262.35,264.49,264.41,0.08,0.0303,78926.63,2086663.751,266.334,90767.764,266.622,91877.294
12,002594.SZ,20230714,267.8,267.8,263.5,264.41,267.83,-3.42,-1.2769,102722.03,2718639.361,266.146,88757.962,266.921,100241.137
13,002594.SZ,20230713,267.5,269.5,265.01,267.83,265.61,2.22,0.8358,82753.01,2213414.441,266.144,80651.856,266.307,97541.37
14,002594.SZ,20230712,270.5,271.15,264.66,265.61,269.33,-3.72,-1.3812,87031.95,2328017.076,266.198,80843.624,265.094,97614.574
15,002594.SZ,20230711,265.0,270.69,263.8,269.33,263.55,5.78,2.1931,102405.2,2744333.129,266.476,82043.86,264.558,94638.33
16,002594.SZ,20230710,267.0,269.5,262.75,263.55,264.4,-0.85,-0.3215,68877.62,1824432.454,266.91,92986.824,263.63,94300.675
17,002594.SZ,20230707,267.0,267.66,264.11,264.4,268.1,-3.7,-1.3801,62191.5,1650354.364,267.696,111724.312,263.564,97564.135
18,002594.SZ,20230706,267.0,272.0,266.8,268.1,267.0,1.1,0.412,83711.85,2249759.123,266.47,114430.884,263.902,102126.161
19,002594.SZ,20230705,271.51,272.48,265.69,267.0,271.5,-4.5,-1.6575,93033.13,2493339.683,263.99,114385.524,263.917,103991.592
20,002594.SZ,20230704,268.5,275.0,266.51,271.5,267.48,4.02,1.5029,157120.02,4271284.305,262.64,107232.8,264.138,107044.754
21,002594.SZ,20230703,258.88,269.27,258.88,267.48,258.27,9.21,3.566,162565.06,4313305.226,260.35,95614.526,264.096,106562.434
22,002594.SZ,20230630,254.13,260.0,253.7,258.27,255.7,2.57,1.0051,75724.36,1952424.866,259.432,83403.958,264.536,114702.035
23,002594.SZ,20230629,260.25,260.78,255.23,255.7,260.25,-4.55,-1.7483,83485.05,2148587.117,261.334,89821.438,265.009,119707.199
24,002594.SZ,20230628,260.0,262.5,258.1,260.25,260.05,0.2,0.0769,57269.51,1489543.301,263.844,93597.66,265.561,119509.841
25,002594.SZ,20230627,262.02,263.85,257.08,260.05,262.89,-2.84,-1.0803,99028.65,2570404.964,265.636,106856.708,265.587,124072.011
26,002594.SZ,20230626,262.43,268.69,262.3,262.89,267.78,-4.89,-1.8261,101512.22,2681452.522,267.842,117510.342,265.382,124917.547
27,002594.SZ,20230621,267.01,273.28,266.25,267.78,268.25,-0.47,-0.1752,107811.76,2906861.071,269.64,146000.112,264.593,121211.751
28,002594.SZ,20230620,269.01,269.2,264.9,268.25,269.21,-0.96,-0.3566,102366.16,2734002.025,268.684,149592.96,263.47,120479.603
29,002594.SZ,20230619,271.08,274.99,267.88,269.21,271.08,-1.87,-0.6898,123564.75,3342857.529,267.278,145422.022,262.733,123141.098
30,002594.SZ,20230616,273.86,275.86,270.0,271.08,271.88,-0.8,-0.2942,152296.82,4146755.899,265.538,141287.314,261.644,121264.075
